epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7899,1.12781,1.84132,0.97882,0.01979,0.97158,0.54494,0.4114,1.09233,2.74776,0.93724,0.000545182,0.000545182,0.000545182
2,34.2331,1.02454,0.82063,0.94486,0.73476,0.59316,0.68871,0.49236,1.1679,1.70905,1.00771,0.00108995,0.00108995,0.00108995
3,47.5874,1.02063,0.75864,0.95221,0.4436,0.72587,0.52213,0.35393,1.17036,1.4698,1.04741,0.00162372,0.00162372,0.00162372
4,60.7167,1.00886,0.68482,0.94556,0.6919,0.65564,0.66974,0.47633,1.16076,0.98719,1.03666,0.00161749,0.00161749,0.00161749
5,73.8553,0.96787,0.62534,0.93471,0.58391,0.62301,0.63207,0.45297,1.16075,0.96115,1.05232,0.00160099,0.00160099,0.00160099
6,86.8484,0.9577,0.60042,0.93435,0.83893,0.82611,0.8977,0.64786,1.07598,0.65036,0.99021,0.00158448,0.00158448,0.00158448
7,99.8333,0.94072,0.57648,0.93237,0.74351,0.73576,0.76593,0.55486,1.08402,1.0583,1.00878,0.00156798,0.00156798,0.00156798
8,112.721,0.92514,0.55896,0.92597,0.7974,0.78245,0.83488,0.65813,0.95078,0.69233,0.93758,0.00155148,0.00155148,0.00155148
9,125.636,0.90068,0.54208,0.91968,0.80842,0.74369,0.8045,0.6115,0.9903,0.652,0.96019,0.00153497,0.00153497,0.00153497
10,138.529,0.88574,0.52508,0.91702,0.85392,0.74374,0.82736,0.61412,1.0409,0.7727,0.97761,0.00151847,0.00151847,0.00151847
11,151.525,0.88094,0.52239,0.91354,0.81654,0.79315,0.85832,0.63881,1.01045,0.72499,0.96776,0.00150197,0.00150197,0.00150197
12,164.316,0.86872,0.50959,0.91183,0.88739,0.81394,0.89404,0.66319,0.99604,0.61742,0.95436,0.00148546,0.00148546,0.00148546
13,177.148,0.86049,0.50433,0.91006,0.81751,0.85559,0.9071,0.69495,0.96865,0.68775,0.94908,0.00146896,0.00146896,0.00146896
14,190.236,0.85173,0.49363,0.90753,0.90973,0.83385,0.91399,0.70934,0.95728,0.60365,0.94678,0.00145246,0.00145246,0.00145246
15,203.341,0.84591,0.48963,0.9039,0.88215,0.80467,0.89925,0.70124,0.94932,0.54509,0.94171,0.00143595,0.00143595,0.00143595
16,216.382,0.83968,0.48048,0.90247,0.91388,0.86121,0.92382,0.72016,0.93984,0.50711,0.93247,0.00141945,0.00141945,0.00141945
17,229.48,0.83515,0.48193,0.90454,0.8878,0.82926,0.90651,0.70051,0.98432,0.55609,0.94827,0.00140295,0.00140295,0.00140295
18,242.589,0.83322,0.47374,0.90054,0.88719,0.8496,0.92379,0.71458,0.97028,0.55745,0.94627,0.00138644,0.00138644,0.00138644
19,255.728,0.8203,0.46641,0.89818,0.90062,0.84341,0.90293,0.71086,0.93818,0.56867,0.92904,0.00136994,0.00136994,0.00136994
20,268.663,0.82453,0.46434,0.89726,0.90107,0.86582,0.9182,0.71875,0.96346,0.53185,0.9405,0.00135344,0.00135344,0.00135344
21,281.592,0.81683,0.46016,0.89543,0.8382,0.77559,0.8509,0.66625,0.97187,0.53662,0.93729,0.00133693,0.00133693,0.00133693
22,294.618,0.82078,0.4582,0.89477,0.82437,0.88887,0.9125,0.69438,0.96797,0.56974,0.9413,0.00132043,0.00132043,0.00132043
23,307.782,0.81136,0.4538,0.89459,0.86214,0.91335,0.9247,0.71614,0.96858,0.54375,0.9392,0.00130393,0.00130393,0.00130393
24,320.684,0.8068,0.44934,0.89218,0.91167,0.8207,0.90846,0.71195,0.93673,0.53896,0.93367,0.00128742,0.00128742,0.00128742
25,333.704,0.80064,0.44265,0.88975,0.8776,0.84707,0.9191,0.72004,0.9493,0.51677,0.93649,0.00127092,0.00127092,0.00127092
26,346.6,0.80451,0.44819,0.89141,0.84872,0.87575,0.9262,0.73017,0.94779,0.53737,0.9317,0.00125442,0.00125442,0.00125442
27,359.35,0.7973,0.43983,0.8904,0.92569,0.8275,0.92649,0.73127,0.92184,0.52428,0.92718,0.00123791,0.00123791,0.00123791
28,372.204,0.79334,0.43492,0.88712,0.89948,0.87102,0.93678,0.74554,0.9166,0.48724,0.92663,0.00122141,0.00122141,0.00122141
29,385.077,0.78784,0.43329,0.88587,0.88904,0.85117,0.90936,0.72111,0.93948,0.48849,0.92912,0.00120491,0.00120491,0.00120491
30,398.091,0.78601,0.43228,0.88578,0.89536,0.84074,0.91422,0.71783,0.9524,0.51918,0.93265,0.0011884,0.0011884,0.0011884
31,411.205,0.78772,0.42968,0.88577,0.91747,0.87505,0.94955,0.75199,0.93097,0.53749,0.92823,0.0011719,0.0011719,0.0011719
32,424.06,0.77902,0.42323,0.88318,0.87715,0.8909,0.93233,0.74182,0.90617,0.50009,0.92397,0.0011554,0.0011554,0.0011554
33,436.961,0.77944,0.42333,0.88518,0.86385,0.83864,0.90137,0.72356,0.92397,0.48228,0.92372,0.00113889,0.00113889,0.00113889
34,449.969,0.77748,0.42114,0.88319,0.90765,0.88173,0.9351,0.73337,0.94402,0.50141,0.93051,0.00112239,0.00112239,0.00112239
35,462.921,0.77343,0.41872,0.88237,0.90667,0.86138,0.92824,0.73196,0.94848,0.51698,0.93574,0.00110589,0.00110589,0.00110589
36,475.904,0.77545,0.42174,0.88329,0.93732,0.79816,0.9107,0.73266,0.90848,0.48033,0.92099,0.00108938,0.00108938,0.00108938
37,488.848,0.76871,0.41723,0.88296,0.85557,0.84993,0.91202,0.71849,0.92617,0.49139,0.93338,0.00107288,0.00107288,0.00107288
38,501.617,0.76697,0.41208,0.87981,0.87141,0.90313,0.9369,0.74474,0.90676,0.51136,0.92498,0.00105638,0.00105638,0.00105638
39,514.613,0.76847,0.41028,0.8811,0.89663,0.86198,0.92862,0.72644,0.93545,0.4843,0.93132,0.00103987,0.00103987,0.00103987
40,527.331,0.75954,0.41023,0.87888,0.90707,0.82896,0.91256,0.71724,0.94068,0.47185,0.92977,0.00102337,0.00102337,0.00102337
41,540.154,0.75863,0.40737,0.87822,0.87254,0.90126,0.93793,0.73325,0.92444,0.45596,0.9218,0.00100687,0.00100687,0.00100687
42,552.989,0.7518,0.40512,0.87461,0.88609,0.90911,0.94247,0.7577,0.90528,0.47076,0.91994,0.000990365,0.000990365,0.000990365
43,565.898,0.7589,0.40263,0.87878,0.92542,0.84224,0.92756,0.72295,0.94468,0.51049,0.93266,0.000973861,0.000973861,0.000973861
