epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5563,1.13024,1.92637,0.97937,0.71972,0.54344,0.65951,0.4956,1.06826,1.87166,0.95144,0.000412736,0.000412736,0.000412736
2,34.8353,1.03171,0.94121,0.9588,0.73312,0.72362,0.7777,0.58736,1.07421,0.91188,0.98174,0.000821191,0.000821191,0.000821191
3,48.6141,1.00258,0.8269,0.95341,0.74451,0.68326,0.7446,0.55231,1.05742,1.05784,0.98397,0.0012214,0.0012214,0.0012214
4,62.3259,0.9933,0.77008,0.95117,0.67826,0.67779,0.70515,0.48448,1.1529,0.98382,1.02629,0.00121287,0.00121287,0.00121287
5,75.7575,0.97003,0.71299,0.94254,0.75302,0.74384,0.787,0.57904,1.04445,0.985,0.98468,0.0012005,0.0012005,0.0012005
6,89.3406,0.94307,0.67336,0.93651,0.82306,0.6922,0.79949,0.59036,1.06915,0.74793,0.96718,0.00118812,0.00118812,0.00118812
7,102.879,0.93531,0.65074,0.9365,0.80259,0.77446,0.8256,0.63654,0.96684,0.72961,0.94717,0.00117575,0.00117575,0.00117575
8,116.301,0.91589,0.63167,0.93237,0.75639,0.71335,0.78,0.59804,1.04533,0.7299,0.97665,0.00116337,0.00116337,0.00116337
9,129.701,0.90621,0.61368,0.92753,0.84482,0.75236,0.83958,0.64253,0.98573,0.74146,0.95726,0.001151,0.001151,0.001151
10,143.388,0.88911,0.59499,0.92358,0.8506,0.79132,0.85897,0.66799,0.9442,0.66678,0.94343,0.00113863,0.00113863,0.00113863
11,158.24,0.88341,0.58424,0.92171,0.75683,0.79766,0.80827,0.62653,0.96795,0.65657,0.95086,0.00112625,0.00112625,0.00112625
12,172.016,0.87084,0.57884,0.91672,0.82503,0.79599,0.85989,0.67345,0.95258,0.66055,0.94103,0.00111388,0.00111388,0.00111388
13,185.542,0.86375,0.56138,0.91645,0.8114,0.80104,0.85305,0.66299,0.98493,0.66838,0.95816,0.0011015,0.0011015,0.0011015
14,198.98,0.85324,0.55482,0.91342,0.84956,0.81496,0.86995,0.68193,0.95859,0.63075,0.95157,0.00108913,0.00108913,0.00108913
15,212.536,0.8491,0.55145,0.91023,0.81973,0.7516,0.83362,0.65031,0.95435,0.62192,0.93975,0.00107675,0.00107675,0.00107675
16,225.988,0.84088,0.53523,0.90816,0.83348,0.76563,0.83686,0.65706,0.92908,0.67492,0.93415,0.00106437,0.00106437,0.00106437
17,240.057,0.83739,0.53525,0.90816,0.81787,0.73105,0.82691,0.64675,0.94742,0.69013,0.94638,0.001052,0.001052,0.001052
18,253.803,0.83328,0.52897,0.90734,0.809,0.79416,0.84217,0.64415,0.99684,0.6503,0.9508,0.00103962,0.00103962,0.00103962
19,267.311,0.82844,0.52429,0.90441,0.84444,0.76843,0.85324,0.67302,0.93224,0.61274,0.92811,0.00102725,0.00102725,0.00102725
20,281.012,0.82523,0.51866,0.90123,0.8324,0.81976,0.85612,0.66835,0.94958,0.61293,0.93435,0.00101488,0.00101488,0.00101488
