epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1539,0.80511,0.98063,0.26689,0.54511,0.24889,0.09211,0.04026,0.54052,1.12536,0.12992,3.31754e-05,3.31754e-05,0.0668578
2,164.233,0.45961,1.10541,0.10276,0.0928,0.58273,0.11091,0.07812,0.33429,1.23225,0.10173,6.64924e-05,6.64924e-05,0.0335578
3,244.548,0.3761,1.12033,0.08472,0.18592,0.47305,0.21327,0.1573,0.30872,1.28792,0.09567,9.97445e-05,9.97445e-05,0.000257722
4,324.272,0.38265,0.91857,0.09459,0.21562,0.61444,0.24964,0.17651,0.32229,0.92373,0.09961,9.97803e-05,9.97803e-05,9.97803e-05
5,403.611,0.35319,0.73317,0.08581,0.55644,0.69071,0.62714,0.48344,0.30096,0.64934,0.0921,9.96097e-05,9.96097e-05,9.96097e-05
6,483.037,0.32691,0.50181,0.07919,0.85363,0.89155,0.88541,0.68565,0.28526,0.47712,0.08774,9.93906e-05,9.93906e-05,9.93906e-05
7,564.069,0.31094,0.42909,0.07365,0.87041,0.86039,0.88781,0.68463,0.28885,0.45555,0.08962,9.91232e-05,9.91232e-05,9.91232e-05
8,645.243,0.3058,0.42876,0.07173,0.86395,0.88693,0.8974,0.68455,0.28877,0.43703,0.08924,9.88079e-05,9.88079e-05,9.88079e-05
9,724.753,0.29747,0.40837,0.06958,0.86505,0.84608,0.86432,0.66353,0.28644,0.46046,0.08917,9.84449e-05,9.84449e-05,9.84449e-05
10,803.859,0.29179,0.39796,0.06846,0.84176,0.86904,0.89849,0.69885,0.28236,0.42997,0.08984,9.80345e-05,9.80345e-05,9.80345e-05
11,883.965,0.28342,0.39286,0.06644,0.8752,0.85746,0.91233,0.69343,0.28989,0.42791,0.09256,9.75773e-05,9.75773e-05,9.75773e-05
12,964.505,0.28297,0.38065,0.06613,0.86527,0.84385,0.87694,0.66158,0.28623,0.43966,0.09154,9.70736e-05,9.70736e-05,9.70736e-05
13,1044.11,0.27688,0.37678,0.06391,0.849,0.87036,0.87392,0.68062,0.29208,0.42534,0.09188,9.65239e-05,9.65239e-05,9.65239e-05
14,1123.81,0.27132,0.36649,0.06292,0.87083,0.89532,0.9065,0.69305,0.28686,0.42618,0.08846,9.59289e-05,9.59289e-05,9.59289e-05
15,1203.37,0.27113,0.36817,0.06112,0.90619,0.84065,0.89407,0.68067,0.28947,0.40884,0.09236,9.52889e-05,9.52889e-05,9.52889e-05
16,1283.27,0.26576,0.363,0.06252,0.91137,0.85773,0.90809,0.69901,0.29058,0.40632,0.09429,9.46048e-05,9.46048e-05,9.46048e-05
17,1363.75,0.26428,0.36132,0.06172,0.9007,0.87985,0.92836,0.72249,0.28231,0.40628,0.08748,9.38772e-05,9.38772e-05,9.38772e-05
18,1444.67,0.26304,0.35505,0.06018,0.90378,0.84537,0.88507,0.67666,0.29589,0.4177,0.09466,9.31067e-05,9.31067e-05,9.31067e-05
19,1526.3,0.25876,0.35658,0.05953,0.89089,0.88959,0.91906,0.71014,0.28685,0.40497,0.09229,9.22942e-05,9.22942e-05,9.22942e-05
20,1610.12,0.25535,0.34717,0.05783,0.89014,0.88769,0.92969,0.72388,0.28457,0.41474,0.08924,9.14405e-05,9.14405e-05,9.14405e-05
21,1695.55,0.25467,0.34791,0.05817,0.89823,0.89146,0.92405,0.72171,0.29479,0.43831,0.09305,9.05463e-05,9.05463e-05,9.05463e-05
