timestamp,phase,duration_s,decision,reason,N_thru_count,S_thru_count,E_thru_count,W_thru_count,N_left_count,S_left_count,E_left_count,W_left_count
2026-04-13T03:24:48.924952,PHASE_1_N_S_THRU,7.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T03:24:50.931258,PHASE_1_N_S_THRU,9.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T03:24:52.937980,PHASE_1_N_S_THRU,11.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:54.945070,PHASE_1_N_S_THRU,13.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:56.952526,PHASE_1_N_S_THRU,15.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:58.958784,PHASE_1_N_S_THRU,17.0,CHANGE,higher_phase_pressure,1,1,2,2,1,1,1,1
2026-04-13T03:25:11.962078,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:25:13.964938,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:25:15.968812,PHASE_3_E_W_THRU,11.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:17.972300,PHASE_3_E_W_THRU,13.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:19.975822,PHASE_3_E_W_THRU,15.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:21.979386,PHASE_3_E_W_THRU,17.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:23.983096,PHASE_3_E_W_THRU,19.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:25.987068,PHASE_3_E_W_THRU,21.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:27.991266,PHASE_3_E_W_THRU,23.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:29.995448,PHASE_3_E_W_THRU,25.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:31.999265,PHASE_3_E_W_THRU,27.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:34.003490,PHASE_3_E_W_THRU,29.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:36.007530,PHASE_3_E_W_THRU,31.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:38.011342,PHASE_3_E_W_THRU,33.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:40.014984,PHASE_3_E_W_THRU,35.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:42.018604,PHASE_3_E_W_THRU,37.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:44.022416,PHASE_3_E_W_THRU,39.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:46.025937,PHASE_3_E_W_THRU,41.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:48.029727,PHASE_3_E_W_THRU,43.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:50.033774,PHASE_3_E_W_THRU,45.1,EXTEND,continuing,0,0,2,2,0,0,0,0
