timestamp,phase,duration_s,decision,reason,N_thru_count,S_thru_count,E_thru_count,W_thru_count,N_left_count,S_left_count,E_left_count,W_left_count
2026-04-13T03:24:48.918758,PHASE_1_N_S_THRU,7.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T03:24:50.925625,PHASE_1_N_S_THRU,9.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T03:24:52.931929,PHASE_1_N_S_THRU,11.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:54.938417,PHASE_1_N_S_THRU,13.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:56.945321,PHASE_1_N_S_THRU,15.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:58.950643,PHASE_1_N_S_THRU,17.0,CHANGE,higher_phase_pressure,1,1,2,2,1,1,1,1
2026-04-13T03:25:11.954961,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:25:13.958804,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:25:15.962735,PHASE_3_E_W_THRU,11.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:17.966414,PHASE_3_E_W_THRU,13.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:19.969933,PHASE_3_E_W_THRU,15.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:21.973480,PHASE_3_E_W_THRU,17.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:23.978659,PHASE_3_E_W_THRU,19.0,EXTEND,continuing,2,0,2,2,0,0,0,0
2026-04-13T03:25:25.982745,PHASE_3_E_W_THRU,21.0,EXTEND,continuing,2,0,2,2,0,0,0,0
2026-04-13T03:25:27.986892,PHASE_3_E_W_THRU,23.0,EXTEND,continuing,2,0,2,2,0,0,0,0
2026-04-13T03:25:29.991024,PHASE_3_E_W_THRU,25.0,EXTEND,continuing,2,0,2,2,0,0,0,0
2026-04-13T03:25:31.994700,PHASE_3_E_W_THRU,27.0,EXTEND,continuing,2,0,2,2,0,0,0,0
2026-04-13T03:25:33.998602,PHASE_3_E_W_THRU,29.0,EXTEND,continuing,2,0,2,2,0,0,0,0
2026-04-13T03:25:36.001678,PHASE_3_E_W_THRU,31.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:38.004830,PHASE_3_E_W_THRU,33.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:40.007693,PHASE_3_E_W_THRU,35.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:42.010798,PHASE_3_E_W_THRU,37.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:44.014075,PHASE_3_E_W_THRU,39.1,EXTEND,continuing,0,0,2,2,0,0,0,0
