timestamp,phase,duration_s,decision,reason,N_thru_count,S_thru_count,E_thru_count,W_thru_count,N_left_count,S_left_count,E_left_count,W_left_count
2026-04-13T03:24:48.935446,PHASE_1_N_S_THRU,7.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T03:24:50.941237,PHASE_1_N_S_THRU,9.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T03:24:52.947102,PHASE_1_N_S_THRU,11.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:54.953512,PHASE_1_N_S_THRU,13.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:56.959923,PHASE_1_N_S_THRU,15.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T03:24:58.965384,PHASE_1_N_S_THRU,17.0,CHANGE,higher_phase_pressure,1,1,2,2,1,1,1,1
2026-04-13T03:25:11.968748,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:25:13.971347,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:25:15.974070,PHASE_3_E_W_THRU,11.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:17.977244,PHASE_3_E_W_THRU,13.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:19.980086,PHASE_3_E_W_THRU,15.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:21.982991,PHASE_3_E_W_THRU,17.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:23.986303,PHASE_3_E_W_THRU,19.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:25.989587,PHASE_3_E_W_THRU,21.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:27.993313,PHASE_3_E_W_THRU,23.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:30.000233,PHASE_3_E_W_THRU,25.0,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:25:32.006276,PHASE_3_E_W_THRU,27.0,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:25:34.011544,PHASE_3_E_W_THRU,29.0,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:25:36.016783,PHASE_3_E_W_THRU,31.1,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:25:38.021943,PHASE_3_E_W_THRU,33.1,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:25:40.026677,PHASE_3_E_W_THRU,35.1,EXTEND,continuing,2,1,2,2,0,0,0,0
2026-04-13T03:25:42.029975,PHASE_3_E_W_THRU,37.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:44.033183,PHASE_3_E_W_THRU,39.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:46.036341,PHASE_3_E_W_THRU,41.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T03:25:48.041044,PHASE_3_E_W_THRU,43.1,EXTEND,continuing,0,0,2,2,1,1,0,0
2026-04-13T03:25:50.045672,PHASE_3_E_W_THRU,45.1,EXTEND,continuing,0,0,2,2,1,1,0,0
2026-04-13T03:25:52.051264,PHASE_3_E_W_THRU,47.1,EXTEND,continuing,0,0,2,2,1,1,0,0
2026-04-13T03:25:54.056111,PHASE_3_E_W_THRU,49.1,EXTEND,continuing,0,0,2,2,1,1,0,0
2026-04-13T03:25:56.060742,PHASE_3_E_W_THRU,51.1,EXTEND,continuing,0,0,2,2,1,1,0,0
2026-04-13T03:25:58.068615,PHASE_3_E_W_THRU,53.1,EXTEND,continuing,2,2,2,2,1,1,0,0
2026-04-13T03:26:00.075353,PHASE_3_E_W_THRU,55.1,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:26:02.082036,PHASE_3_E_W_THRU,57.1,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:26:04.088609,PHASE_3_E_W_THRU,59.1,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:26:06.095419,PHASE_3_E_W_THRU,61.1,EXTEND,continuing,2,2,2,2,0,0,0,0
2026-04-13T03:26:08.100263,PHASE_3_E_W_THRU,63.1,EXTEND,continuing,1,0,2,2,0,0,0,0
2026-04-13T03:26:10.104388,PHASE_3_E_W_THRU,65.1,CHANGE,max_green_reached,0,0,2,2,0,0,0,0
2026-04-13T03:26:23.109155,PHASE_1_N_S_THRU,7.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:26:25.113349,PHASE_1_N_S_THRU,9.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T03:26:27.117491,PHASE_1_N_S_THRU,11.0,CHANGE,higher_phase_pressure,0,0,2,2,0,0,0,0
2026-04-13T03:26:40.122257,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
