timestamp,phase,duration_s,decision,reason,N_thru_count,S_thru_count,E_thru_count,W_thru_count,N_left_count,S_left_count,E_left_count,W_left_count
2026-04-13T12:47:45.740444,PHASE_1_N_S_THRU,7.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T12:47:47.748189,PHASE_1_N_S_THRU,9.0,HOLD,min_green_not_met,2,2,2,2,1,1,1,1
2026-04-13T12:47:49.754912,PHASE_1_N_S_THRU,11.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T12:47:51.761005,PHASE_1_N_S_THRU,13.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T12:47:53.767165,PHASE_1_N_S_THRU,15.0,EXTEND,continuing,2,2,2,2,1,1,1,1
2026-04-13T12:47:55.774580,PHASE_1_N_S_THRU,17.0,EXTEND,continuing,1,1,2,2,1,1,1,1
2026-04-13T12:47:57.777751,PHASE_1_N_S_THRU,19.0,CHANGE,gap_out,0,0,2,2,0,0,0,0
2026-04-13T12:48:10.781039,PHASE_3_E_W_THRU,7.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T12:48:12.784945,PHASE_3_E_W_THRU,9.0,HOLD,min_green_not_met,0,0,2,2,0,0,0,0
2026-04-13T12:48:14.788623,PHASE_3_E_W_THRU,11.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:16.792643,PHASE_3_E_W_THRU,13.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:18.796296,PHASE_3_E_W_THRU,15.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:20.800914,PHASE_3_E_W_THRU,17.0,EXTEND,continuing,0,2,2,2,0,0,0,0
2026-04-13T12:48:22.805536,PHASE_3_E_W_THRU,19.0,EXTEND,continuing,0,2,2,2,0,0,0,0
2026-04-13T12:48:24.810135,PHASE_3_E_W_THRU,21.0,EXTEND,continuing,0,2,2,2,0,0,0,0
2026-04-13T12:48:26.814934,PHASE_3_E_W_THRU,23.0,EXTEND,continuing,0,2,2,2,0,0,0,0
2026-04-13T12:48:28.819211,PHASE_3_E_W_THRU,25.0,EXTEND,continuing,0,2,2,2,0,0,0,0
2026-04-13T12:48:30.823079,PHASE_3_E_W_THRU,27.0,EXTEND,continuing,0,1,2,2,0,0,0,0
2026-04-13T12:48:32.826239,PHASE_3_E_W_THRU,29.0,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:34.829607,PHASE_3_E_W_THRU,31.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:36.833472,PHASE_3_E_W_THRU,33.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:38.837546,PHASE_3_E_W_THRU,35.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:40.841351,PHASE_3_E_W_THRU,37.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:42.846072,PHASE_3_E_W_THRU,39.1,EXTEND,continuing,0,0,2,2,0,0,0,0
2026-04-13T12:48:44.854419,PHASE_3_E_W_THRU,41.1,EXTEND,continuing,0,2,2,2,0,1,0,0
2026-04-13T12:48:46.860289,PHASE_3_E_W_THRU,43.1,EXTEND,continuing,0,2,2,2,0,1,0,0
2026-04-13T12:48:48.865579,PHASE_3_E_W_THRU,45.1,EXTEND,continuing,0,2,2,2,0,1,0,0
